Temperature,SsWT,SsWT,SsWT,I45A/S70A,I45A/S70A,I45A/S70A,SsWT,SsWT,SsWT,I45A/S70A,I45A/S70A,I45A/S70A,I45A,I45A,I45A,I45A/M73A,I45A/M73A,I45A/M73A,I45A,I45A,I45A,I45A/M73A,I45A/M73A,I45A/M73A,I45K,I45K,I45K,I45K/S70A,I45K/S70A,I45K/S70A,I45K,I45K,I45K,I45K/S70A,I45K/S70A,I45K/S70A,S70A,S70A,S70A,I45K/I107A,I45K/I107A,I45K/I107A,S70A,S70A,S70A,I45K/I107A,I45K/I107A,I45K/I107A,M73A,M73A,M73A,M73A/I107K,M73A/I107K,M73A/I107K,M73A,M73A,M73A,M73A/I107K,M73A/I107K,M73A/I107K,I107A,I107A,I107A,I45K/I107K,I45K/I107K,I45K/I107K,I107A,I107A,I107A,I45K/I107K,I45K/I107K,I45K/I107K,I107K,I107K,I107K,S70A/I107K,S70A/I107K,S70A/I107K,I107K,I107K,I107K,S70A/I107K,S70A/I107K,S70A/I107K,dye only,dye only,dye only,buffer ,buffer ,buffer ,dye only,dye only,dye only,buffer,buffer,buffer
25,25.68701605,24.02480407,113.0730187,119.6135676,128.3324132,133.8832037,130.4430568,130.593662,141.9844585,98.48255712,133.049933,106.1613218,23.06414021,-24.31210902,157.0571755,42.19232915,59.6770633,95.44733368,147.9684869,157.1537726,151.3149885,107.4102778,81.27663788,60.84296877,125.8050731,72.8615657,117.1270837,130.8754497,139.8265063,143.3172404,160.1977316,158.0902842,143.5389494,138.9423275,135.8986154,143.3842269,73.85026645,128.2204071,137.6501842,144.8767471,154.0506949,145.8709939,146.9053961,127.0860356,157.1788622,137.8032197,168.1206449,159.7493586,43.48540128,111.4294555,110.3648487,66.80306588,164.6594836,119.215396,87.29411422,182.5921175,170.3003701,119.4772272,81.7504263,51.55135009,110.6117877,148.1877843,127.3177141,119.9361703,141.268841,142.6007986,149.0018599,160.9861907,154.170026,124.6865202,161.9749533,157.9226229,130.3448072,129.6071486,130.7133649,122.596637,137.9960443,146.7415521,126.2891244,170.4483478,182.3890373,147.8653365,165.5989651,139.1086402,2.623117307,2.574558685,3.374853724,0.185790541,0.21467088,0.891906076,2.138583176,2.060857939,3.093010781,0.546996589,0.375117496,0.608403644
25.5,55.65520145,52.05374215,244.9915406,259.1627297,278.0535619,290.0802747,282.6266231,282.9529344,307.6329934,213.3788737,288.2748549,230.0161972,49.9723038,-52.6762362,340.290547,91.41671317,129.3003038,206.8025563,320.5983883,340.4998406,327.8491418,232.7222685,176.0993821,131.8264323,272.5776584,157.8667257,253.775348,283.5634744,302.9574304,310.5206875,347.0950852,342.5289492,311.001057,301.0417096,294.4470001,310.6658249,160.0089106,277.8108821,298.2420658,313.8996186,333.7765056,316.0538201,318.295025,275.3530771,340.5542015,298.5736427,364.2613973,346.1236102,94.21836945,241.4304869,239.1238389,144.7399761,356.7622145,258.3000246,189.1372475,395.6162546,368.9841352,258.8673257,177.1259236,111.6945919,239.6588734,321.0735327,275.8550472,259.8617024,306.0824888,308.9683969,322.8373631,348.8034131,334.0350564,270.154127,350.945732,342.165683,282.4137489,280.8154887,283.2122907,265.6260469,298.9914293,317.9400296,273.6264362,369.3047537,395.1762474,320.3748958,358.7977577,301.4020537,5.683420832,5.578210483,7.312183069,0.402546172,0.46512024,1.932463165,4.633596881,4.465192202,6.70152336,1.185159277,0.812754574,1.318207896
26,51.3740321,48.04960814,226.1460375,239.2271351,256.6648264,267.7664074,260.8861137,261.1873241,283.968917,196.9651142,266.0998661,212.3226436,46.12828043,-48.62421803,314.1143511,84.38465831,119.3541266,190.8946674,295.9369738,314.3075452,302.6299771,214.8205556,162.5532758,121.6859375,251.6101463,145.7231314,234.2541674,261.7508994,279.6530127,286.6344808,320.3954633,316.1805685,287.0778988,277.884655,271.7972309,286.7684537,147.7005329,256.4408142,275.3003685,289.7534941,308.1013898,291.7419878,293.8107923,254.1720711,314.3577245,275.6064394,336.2412898,319.4987171,86.97080257,222.858911,220.7296975,133.6061318,329.3189673,238.4307919,174.5882284,365.184235,340.6007402,238.9544545,163.5008526,103.1027002,221.2235755,296.3755686,254.6354282,239.8723407,282.537682,285.2015972,298.0037198,321.9723813,308.3400521,249.3730403,323.9499065,315.8452458,260.6896144,259.2142973,261.4267298,245.1932741,275.9920886,293.4831042,252.5782488,340.8966957,364.7780745,295.7306731,331.1979302,278.2172803,5.246234614,5.149117369,6.749707448,0.371581082,0.42934176,1.783812153,4.277166352,4.121715879,6.186021563,1.093993179,0.750234991,1.216807289
26.5,51.3740321,48.04960814,226.1460375,239.2271351,256.6648264,267.7664074,260.8861137,261.1873241,283.968917,196.9651142,266.0998661,212.3226436,46.12828043,-48.62421803,314.1143511,84.38465831,119.3541266,190.8946674,295.9369738,314.3075452,302.6299771,214.8205556,162.5532758,121.6859375,251.6101463,145.7231314,234.2541674,261.7508994,279.6530127,286.6344808,320.3954633,316.1805685,287.0778988,277.884655,271.7972309,286.7684537,147.7005329,256.4408142,275.3003685,289.7534941,308.1013898,291.7419878,293.8107923,254.1720711,314.3577245,275.6064394,336.2412898,319.4987171,86.97080257,222.858911,220.7296975,133.6061318,329.3189673,238.4307919,174.5882284,365.184235,340.6007402,238.9544545,163.5008526,103.1027002,221.2235755,296.3755686,254.6354282,239.8723407,282.537682,285.2015972,298.0037198,321.9723813,308.3400521,249.3730403,323.9499065,315.8452458,260.6896144,259.2142973,261.4267298,245.1932741,275.9920886,293.4831042,252.5782488,340.8966957,364.7780745,295.7306731,331.1979302,278.2172803,5.246234614,5.149117369,6.749707448,0.371581082,0.42934176,1.783812153,4.277166352,4.121715879,6.186021563,1.093993179,0.750234991,1.216807289
27,51.3740321,48.04960814,226.1460375,239.2271351,256.6648264,267.7664074,260.8861137,261.1873241,283.968917,196.9651142,266.0998661,212.3226436,46.12828043,-48.62421803,314.1143511,84.38465831,119.3541266,190.8946674,295.9369738,314.3075452,302.6299771,214.8205556,162.5532758,121.6859375,251.6101463,145.7231314,234.2541674,261.7508994,279.6530127,286.6344808,320.3954633,316.1805685,287.0778988,277.884655,271.7972309,286.7684537,147.7005329,256.4408142,275.3003685,289.7534941,308.1013898,291.7419878,293.8107923,254.1720711,314.3577245,275.6064394,336.2412898,319.4987171,86.97080257,222.858911,220.7296975,133.6061318,329.3189673,238.4307919,174.5882284,365.184235,340.6007402,238.9544545,163.5008526,103.1027002,221.2235755,296.3755686,254.6354282,239.8723407,282.537682,285.2015972,298.0037198,321.9723813,308.3400521,249.3730403,323.9499065,315.8452458,260.6896144,259.2142973,261.4267298,245.1932741,275.9920886,293.4831042,252.5782488,340.8966957,364.7780745,295.7306731,331.1979302,278.2172803,5.246234615,5.149117369,6.749707448,0.371581082,0.42934176,1.783812153,4.277166352,4.121715879,6.186021563,1.093993179,0.750234991,1.216807289
27.5,51.58204284,48.48973158,227.3716699,240.557715,257.6098283,268.8808266,262.5836191,262.1602745,285.198608,197.2345952,266.256412,213.3444193,43.5592974,-52.73774817,316.9596366,80.63199983,121.4062467,192.1691987,297.3384697,315.9650529,303.9747683,217.5932876,163.3793528,122.4054027,253.0187061,146.0082469,234.9794775,263.1915569,281.0460877,287.947366,321.4446047,317.1583839,287.4006167,278.8351988,273.2704203,287.1169828,148.9259784,257.2675709,276.3618387,291.6404447,309.6398548,293.3854159,295.1542832,253.985509,315.7169608,278.1605447,338.0125877,320.1861174,88.11204091,223.9438408,221.8856439,135.5384024,331.4640056,241.05499,175.522479,367.3121834,342.4350337,242.3316941,165.1727584,105.0427823,222.2334271,297.8040678,256.3558055,241.698698,284.2733928,287.3228942,299.8527832,324.7223117,310.881842,252.1256513,325.9183706,316.9778582,263.2687178,260.3193155,262.6075527,246.7727252,277.3814541,294.8717603,250.2095147,343.5098284,366.3571686,297.9639315,332.770139,278.6070839,5.227309412,5.159329689,6.715675907,0.411749375,0.431048464,1.769439284,4.220406466,4.138435008,6.173680895,1.020363927,0.686116797,1.155117249
28,50.15156418,45.80813988,220.2626239,232.4936931,252.2204983,262.2657216,252.3488863,256.5779645,277.9301088,195.8708461,265.6823243,207.4524749,62.92727933,-27.75063452,299.5914666,110.0250596,108.9542268,184.8158164,289.0696233,306.2228762,295.9791056,201.5696169,158.6327193,118.3292202,244.7407827,144.4946617,230.8651543,254.6116999,272.7159683,280.2312883,315.4497607,311.5473834,285.6176884,273.207951,264.5660482,285.456462,141.6962518,252.4315782,270.1016524,280.268945,300.5014864,283.7179021,287.2402088,254.8947889,307.6947627,262.7902701,327.3033242,316.4195314,81.3132052,217.6212693,215.1332662,124.0497969,318.430229,225.3262797,169.9348644,354.353339,331.4910658,222.2645359,155.1981281,93.58408464,216.439409,289.5499776,246.1910793,230.4930263,273.957881,274.2924861,288.701054,307.9699614,295.5638775,234.4580111,313.8343966,310.7344825,248.1104761,253.5901496,255.6676832,237.3585822,269.0691673,286.523787,267.4465556,327.6962622,356.948634,284.4373739,323.6017688,276.540268,5.325164987,5.067981685,6.939556276,0.090994383,0.413213973,1.908038591,4.609805076,3.984320678,6.210984576,1.465980518,1.078856616,1.574043345
28.5,48.42434346,40.25383108,203.0512631,215.738561,238.2925059,247.2584699,230.411773,242.4728541,261.4345673,191.0984961,261.6945355,193.0105409,72.42254603,24.34657305,264.1900991,118.0779685,83.01128741,166.2997834,269.8531964,283.3960113,278.0180453,161.9458168,146.5904314,107.7445421,225.5004756,139.7953682,220.0369943,235.3344623,254.6479906,262.1990185,300.0977915,297.3222143,280.6371383,260.2251712,244.6683263,278.5029576,124.9527428,241.0158083,255.6796869,255.9253186,279.9879271,260.966303,268.8809822,258.7547277,289.0610695,229.655308,304.547532,305.4509828,66.13817476,202.4544052,199.1959299,98.5011334,291.5696751,191.0729855,157.7235129,328.0029007,307.3912659,177.1977411,132.6738423,67.31826106,202.072435,269.2463142,223.0721135,208.1019822,250.6723079,248.3720938,265.0014941,273.6805165,262.5624196,204.64591,289.7477103,292.5347306,212.8220495,239.7162875,239.5170485,216.3419162,250.820409,268.5525103,280.1886012,294.1939537,335.8394656,255.9244824,301.741758,270.1247302,5.699619977,5.087282841,7.26751281,0.071944288,0.433182376,1.722063209,5.008660054,4.093557424,6.602264915,2.36636829,1.892117708,2.060183629
29,49.07784745,35.98511702,184.0592953,200.5747932,223.2945339,233.5197424,211.6555282,227.0737098,244.6309295,183.1062428,254.1485157,176.3243166,52.74094186,71.55848799,234.69413,70.67559383,60.8599643,148.5751264,252.2347877,261.409173,261.0634676,120.4138143,134.433563,95.08759814,205.4387466,132.9436051,208.1668532,218.1756942,236.3189416,244.3520282,283.0346503,282.3950564,274.0332836,248.9706956,224.5544618,268.0246898,109.143714,229.1323896,241.5882155,234.5820837,260.1542367,240.1975711,250.9147372,263.9017118,272.067418,200.5987012,285.507233,292.0942881,52.22825535,186.7365763,181.8929903,73.18502678,267.9428899,159.638922,146.1046864,304.1102698,283.7335676,134.3025692,114.1551653,41.32663432,184.7214917,247.204891,199.3359608,189.7417981,229.5367827,227.6569027,243.8423693,243.8623072,235.1472526,191.8047756,270.1436342,272.7836338,177.0042945,228.2804533,223.2333949,197.0843214,233.9320224,252.2447242,268.861676,266.3574906,317.0866951,232.001541,278.4797871,260.6422333,5.932442982,5.558095161,7.377924195,0.423070495,0.503884508,1.614915845,5.412799481,4.569329569,7.12569881,3.499800526,2.381657867,2.283746182
29.5,50.24888414,32.29379538,163.9096023,184.4969044,207.0596925,220.6635542,194.4073475,211.2241503,225.4678339,173.6883804,242.2674228,156.0828497,39.58511043,84.62238637,208.5914195,25.56663804,39.29264153,130.8460205,235.477273,239.1537656,245.4311261,77.09084144,121.8433209,79.34240208,186.8137534,123.6392344,196.1673195,202.6136057,216.5518065,226.8425089,266.3717019,266.0236502,266.9042595,238.3581135,206.3531652,255.2500815,93.75715245,216.273742,226.0549358,214.4292514,239.9683585,220.8162588,233.6584271,259.5760304,256.1705148,174.5799448,269.25055,276.9270501,38.03489892,170.6415549,163.2629147,44.35930221,242.7927409,128.7948838,133.9888705,278.4477105,260.9126818,89.94920716,101.9716774,15.84756909,163.3474029,223.1635236,174.0375625,175.7846922,208.3373203,209.13507,221.3803894,217.8514993,210.2315578,187.6513022,253.9094576,254.6357205,140.560925,218.3044105,205.7443318,180.2370546,218.8169,235.8599538,259.2531735,243.0590299,300.3193054,211.6481225,254.3104327,246.9194979,5.854973165,5.996013265,7.698157012,0.98234934,0.857561007,1.614467141,5.613875892,5.019044014,7.939423281,4.225162873,2.806098746,2.916067705
